,now,hex,type,flight,r,t,alt_baro,alt_geom,gs,track,baro_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,true_heading
57,1669919309.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,8350,8900.0,108.6,310.14,-448.0,1200,none,A7,1016.8,12000.0,19.661545,-155.59294,8,186,0.009000000000000001,2,1.0,8,2,3,perhour,1.0,2,0.0,0.0,[],[],5389091,0.0,-14.7,
58,1669919339.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,8125,8650.0,112.4,308.5,-512.0,1200,none,A7,1016.8,12000.0,19.671346,-155.605358,8,186,0.11900000000000001,2,1.0,8,2,3,perhour,1.0,2,0.0,0.0,[],[],5389282,0.1,-10.2,
59,1669919369.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,7900,8400.0,114.6,312.88,-448.0,1200,none,A7,1016.8,12000.0,19.681595,-155.617561,8,186,0.385,2,1.0,8,2,3,perhour,1.0,2,0.0,0.0,[],[],5389460,0.4,-15.2,
60,1669919399.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,7725,8225.0,112.4,324.05,-128.0,1200,none,A7,1016.8,12000.0,19.693272,-155.629478,8,186,0.045,2,1.0,8,2,3,perhour,1.0,2,0.0,0.0,[],[],5389653,0.0,-6.1,
61,1669919429.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,7650,8150.0,111.2,326.74,-320.0,1200,none,A7,1016.8,12000.0,19.706121,-155.637867,8,186,0.23600000000000002,2,1.0,8,2,3,perhour,1.0,2,0.0,0.0,[],[],5389829,0.2,-7.0,
62,1669919459.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,7550,8025.0,112.1,325.18,-256.0,1200,none,A7,1016.8,12000.0,19.71904,-155.647234,8,186,0.155,2,1.0,8,2,3,perhour,1.0,2,0.0,0.0,[],[],5390023,0.2,-5.1,
63,1669919489.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,7150,7625.0,111.5,320.46,-1408.0,1200,none,A7,1016.8,12000.0,19.731399,-155.657593,8,186,0.068,2,1.0,8,2,3,perhour,1.0,2,0.0,0.0,[],[],5390207,0.1,-5.7,
64,1669919519.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,6500,6925.0,116.4,323.03,-1216.0,1200,none,A7,1016.8,12000.0,19.744014,-155.667431,8,186,0.198,2,1.0,8,2,3,perhour,1.0,2,0.0,0.0,[],[],5390392,0.2,-6.6,
65,1669919549.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,5950,6350.0,116.7,308.74,-960.0,1200,none,A7,1016.8,12000.0,19.756211,-155.678966,8,186,0.492,2,1.0,8,2,3,perhour,1.0,2,0.0,0.0,[],[],5390574,0.0,-4.0,
66,1669919579.492,a02b45,adsb_icao,N11QN   ,N11QN,EC30,5550,5925.0,113.1,308.9,-704.0,1200,none,A7,1016.8,12000.0,19.765228,-155.692896,8,186,0.062,2,1.0,8,2,3,perhour,1.0,2,0.0,0.0,[],[],5390760,0.1,-6.2,
