,now,hex,type,r,t,alt_baro,gs,true_heading,squawk,lat,lon,nic,rc,seen_pos,version,nac_p,nac_v,sil,sil_type,sda,alert,spi,mlat,tisb,messages,seen,rssi,flight,emergency,category,track,baro_rate,alt_geom,nav_qnh,nav_altitude_mcp,nav_heading,nic_baro,gva,nav_modes,nav_altitude_fms
42,1669854030.492,a23a02,adsb_icao,N24211,B738,ground,1.9,230.62,0512,38.851159,-77.039841,8,186,1.221,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57197509,1.2,-6.7,UAL1598 ,none,A3,,,,,,,,,,
43,1669854059.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,165.94,2162,38.853848,-77.039963,8,186,4.083,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988796,0.0,-6.8,AAL2695 ,none,A3,,,,,,,,,,
44,1669854059.492,a23a02,adsb_icao,N24211,B738,ground,0.0,191.25,0512,38.851206,-77.039734,8,186,1.184,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57197563,1.2,-4.6,UAL1598 ,none,A3,,,,,,,,,,
45,1669854089.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,165.94,2162,38.853848,-77.039969,8,186,3.503,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988836,0.4,-8.5,AAL2695 ,none,A3,,,,,,,,,,
46,1669854089.492,a23a02,adsb_icao,N24211,B738,ground,0.0,191.25,0512,38.851206,-77.039734,8,186,7.874,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57197587,3.3,-4.2,UAL1598 ,none,A3,,,,,,,,,,
47,1669854119.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,165.94,2162,38.853848,-77.039963,8,186,3.067,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988870,0.0,-8.8,AAL2695 ,none,A3,,,,,,,,,,
48,1669854119.492,a23a02,adsb_icao,N24211,B738,ground,0.0,191.25,0512,38.851206,-77.039734,8,186,3.067,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57197607,3.1,-5.0,UAL1598 ,none,A3,,,,,,,,,,
49,1669854149.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,165.94,2162,38.853848,-77.039969,8,186,7.996,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988897,0.2,-7.5,AAL2695 ,none,A3,,,,,,,,,,
50,1669854149.492,a23a02,adsb_icao,N24211,B738,ground,0.0,191.25,0512,38.851204,-77.03973,8,186,3.364,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57197622,0.5,-6.6,UAL1598 ,none,A3,,,,,,,,,,
51,1669854179.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,165.94,2162,38.853848,-77.039978,8,186,2.343,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988928,0.4,-7.7,AAL2695 ,none,A3,,,,,,,,,,
52,1669854179.492,a23a02,adsb_icao,N24211,B738,ground,0.0,191.25,0512,38.851204,-77.03973,8,186,8.518,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57197646,0.0,-5.1,UAL1598 ,none,A3,,,,,,,,,,
53,1669854209.492,ad6ff2,adsb_icao,N965NN,B738,ground,0.0,165.94,2162,38.853848,-77.039969,8,186,2.4,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64988964,0.7000000000000001,-8.9,AAL2695 ,none,A3,,,,,,,,,,
54,1669854209.492,a23a02,adsb_icao,N24211,B738,ground,0.0,191.25,0512,38.851206,-77.039734,8,186,3.944,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57197667,3.9,-7.4,UAL1598 ,none,A3,,,,,,,,,,
55,1669854239.492,a23a02,adsb_icao,N24211,B738,ground,0.0,191.25,0512,38.851204,-77.03973,8,186,4.189,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57197684,0.5,-10.2,UAL1598 ,none,A3,,,,,,,,,,
56,1669854239.492,ad6ff2,adsb_icao,N965NN,B738,ground,7.2,126.56,2162,38.853371,-77.03952,8,186,0.466,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64989040,0.5,-3.0,AAL2695 ,none,A3,,,,,,,,,,
57,1669854269.492,a23a02,adsb_icao,N24211,B738,ground,0.0,191.25,0512,38.851204,-77.03973,8,186,9.245,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57197708,2.9,-10.7,UAL1598 ,none,A3,,,,,,,,,,
58,1669854269.492,ad6ff2,adsb_icao,N965NN,B738,ground,8.2,177.19,2162,38.852211,-77.039238,8,186,0.11,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64989139,0.1,-3.2,AAL2695 ,none,A3,,,,,,,,,,
59,1669854299.492,a23a02,adsb_icao,N24211,B738,ground,0.0,191.25,0512,38.851192,-77.039745,8,186,4.53,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57197738,4.3,-9.2,UAL1598 ,none,A3,,,,,,,,,,
60,1669854299.492,ad6ff2,adsb_icao,N965NN,B738,ground,10.2,177.19,2162,38.850973,-77.039108,8,186,0.171,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64989234,0.2,-5.8,AAL2695 ,none,A3,,,,,,,,,,
61,1669854329.492,a23a02,adsb_icao,N24211,B738,ground,0.0,191.25,0512,38.851183,-77.039749,8,186,4.632,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57197768,0.4,-6.1,UAL1598 ,none,A3,,,,,,,,,,
62,1669854329.492,ad6ff2,adsb_icao,N965NN,B738,ground,10.8,177.19,2162,38.849518,-77.038971,8,186,0.293,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64989328,0.1,-7.6,AAL2695 ,none,A3,,,,,,,,,,
63,1669854359.492,a23a02,adsb_icao,N24211,B738,ground,6.2,146.25,0512,38.850758,-77.039387,8,186,0.262,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57197830,0.30000000000000004,-5.3,UAL1598 ,none,A3,,,,,,,,,,
64,1669854359.492,ad6ff2,adsb_icao,N965NN,B738,ground,9.8,177.19,2162,38.847994,-77.038803,8,186,0.458,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64989395,0.5,-6.2,AAL2695 ,none,A3,,,,,,,,,,
65,1669854389.492,a23a02,adsb_icao,N24211,B738,ground,9.2,177.19,0512,38.849716,-77.038999,8,186,0.8190000000000001,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57197926,0.8,-9.5,UAL1598 ,none,A3,153.0,,,,,,,,,
66,1669854389.492,ad6ff2,adsb_icao,N965NN,B738,ground,11.8,174.38,2162,38.846455,-77.038655,8,186,0.357,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64989469,0.4,-9.3,AAL2695 ,none,A3,174.0,,,,,,,,,
67,1669854419.492,a23a02,adsb_icao,N24211,B738,ground,11.8,177.19,0512,38.848296,-77.038849,8,186,0.612,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57197991,0.6000000000000001,-6.2,UAL1598 ,none,A3,153.0,0.0,,,,,,,,
68,1669854419.492,ad6ff2,adsb_icao,N965NN,B738,ground,12.2,177.19,2162,38.844818,-77.038491,8,186,1.1219999999999999,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64989546,1.0,-4.6,AAL2695 ,none,A3,174.0,0.0,,,,,,,,
69,1669854449.492,a23a02,adsb_icao,N24211,B738,ground,13.2,177.19,0512,38.846469,-77.038666,8,186,0.053,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57198056,0.1,-11.0,UAL1598 ,none,A3,153.0,0.0,,,,,,,,
70,1669854449.492,ad6ff2,adsb_icao,N965NN,B738,ground,9.8,177.19,2162,38.843388,-77.038342,8,186,2.739,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64989584,0.0,-6.5,AAL2695 ,none,A3,174.0,0.0,,,,,,,,
71,1669854479.492,a23a02,adsb_icao,N24211,B738,ground,11.2,177.19,0512,38.844758,-77.038498,8,186,0.527,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],57198137,0.5,-4.9,UAL1598 ,none,A3,,,,,,,,,,
72,1669854479.492,ad6ff2,adsb_icao,N965NN,B738,ground,4.2,149.06,2162,38.842415,-77.038103,8,186,0.002,2,9.0,1.0,3.0,perhour,2.0,0.0,0.0,[],[],64989635,0.0,-9.7,AAL2695 ,none,A3,174.0,0.0,,,,,,,,
