iri,source,version,citation,classification,name,description,aliases,superclassIris,defaultIfc,defaultSymbolIdCode
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CounterinsurgencyOperation",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Counterinsurgency Operation",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/MilitaryOperation",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CounterspaceExercise",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Counterspace Exercise",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/MilitaryExercise",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CounterspaceOperation",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Counterspace Operation",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/MilitaryOperation",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CounterterrorismExercise",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Counterterrorism Exercise",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/MilitaryExercise",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CounterterrorismOperation",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Counterterrorism Operation",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/MilitaryOperation",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CountryCode",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Country Code",,,"http://www.ontologyrepository.com/CommonCoreOntologies/CodeIdentifier",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CriminalOrganization",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Criminal Organization","Annex term- recommend move to CCO module for organizations or agents",,"http://www.ontologyrepository.com/CommonCoreOntologies/Organization",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CriticalElementRelationalQuality",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Critical Element Relational Quality","Annex term- recommend move to targeting module once completed",,"http://purl.obolibrary.org/obo/BFO_0000145",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CyberspaceExercise",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Cyberspace Exercise",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/MilitaryExercise",,
"http://schema.dia.mil/DefenseIntelligenceCoreOntology/CyberspaceOperation",DICO,3.1.0,"DICO ontology version 3.1.0",UNCLASSIFIED,"Cyberspace Operation",,,"http://schema.dia.mil/DefenseIntelligenceCoreOntology/MilitaryOperation",,
